Representative,Financials,Utilities,Consumer Discretionary,Real Estate,Industrials,Energy,Consumer Staples,Materials,Health Care,Communication Services,Technology
Ed Whitfield,0.07067729085869538,0.010829748359764236,0.11140826092239396,0.0045268729638505405,0.3266756898719257,0.0037560050824024162,0.13943047888756532,0.0,0.07010138190693455,0.09000759931097596,0.17258667183549187
Brad Ashford,0.0,0.0,0.623364335,0.0,0.329710645,0.0,0.002256181,0.044668839,0.0,0.0,0.0
Lou Barletta,0.2266839046260761,0.025343822675326932,0.1862101228566877,0.0,0.0607068032531221,0.018681007071482347,0.0557765885056852,0.0008987606813539434,0.11823645033896635,0.012045958761510213,0.29541658122978903
Richard L. Hanna,0.16861802848007457,0.00025665508663225167,0.11777557106616786,0.0,0.06585420177469958,0.0031940301098709006,0.10103756651366676,0.0005768479361448408,0.31613170621319875,0.07515404578214735,0.15140134703739722
Frank A. Lobiondo,0.285632047285632,0.0,0.12534031612534036,0.0,0.0,0.0,0.0,0.0,0.1798754411798754,0.0,0.40915219540915226
Brian Mast,0.0,0.0,0.4580276035659376,0.0,0.03282191776451602,0.08024560192808426,0.021906042986830913,0.0,0.04112756940931793,0.17623303671170482,0.18963822763360855
Mikie Sherrill,0.11778402665358087,0.0,0.06359848426883531,0.0,0.06143969389114507,0.045329720590005895,0.07487264565922395,0.0,0.177104544114414,0.012481048924465898,0.44738983589832904
Mo Brooks,0.005058044978933602,0.7972455042825916,0.05771704574708092,0.0,0.0,0.0,0.007816014233727303,0.0,0.006975134863360903,0.12518825589430566,0.0
John Rutherford,0.20441625116272086,0.017949535277479275,0.1187319445676094,0.024202818745228102,0.0726959629725375,0.11744890995204127,0.09006698587587336,0.035783120700495046,0.17730045826412522,0.053095246197109015,0.08830876628478085
Gary Peters,0.1029671691789778,0.03700757371794214,0.013064734426064414,0.4328870893693798,0.04215282856606085,0.0,0.032516188152304934,0.015515426906993517,0.26300143039094387,0.027930774567472335,0.03295678472386023
Eric Cantor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Tammy Duckworth,0.0,0.0,0.0,0.0,0.5980613725980615,0.0,0.020794837020794803,0.0,0.11849127311849122,0.0,0.26265251726265254
John Hoeven,0.19999740659646906,0.0,0.17173395209044298,0.014396131680117713,0.11850185276639286,0.06660139858138457,0.17693308007483702,0.031326707566887976,0.0644449243149098,0.020698633801034948,0.13536591252752306
Steve Knight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tina Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Debbie Wasserman Schultz,0.0,0.0,0.0,0.024692388491119908,0.17944595778398645,0.04997305339247191,0.0,0.07368954773924132,0.05154702013264651,0.0,0.6206520324605339
Peter Welch,0.29176740383592004,0.05464594213754043,0.0,0.0,0.1820291469977603,0.0,0.05777048959680974,0.0,0.11252113681462737,0.0,0.3012658806173422
William R. Keating,0.14535870720416627,0.0,0.13387295510823177,0.019305620605103137,0.12062138121619853,0.0,0.10895053956731432,0.018336115628221537,0.15650365668837402,0.04212639709446688,0.2549246268879235
Linda T. Sánchez,0.7067054112618535,0.0,0.2932945887381465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
August Lee Pfluger Ii,0.587664142,0.0,0.010418614,0.0,0.0,0.0,0.0,0.0,0.0,0.401917244,0.0
